path,included,exclusion_reason,domain,language,total_lines,relevant_lines,assigned_agent,review_pass_1,review_pass_2_if_required,reviewed_ranges,reviewed_lines,coverage_percent,security_relevant,runtime_relevant,database_relevant,integration_relevant,test_relevant,finding_count,status,notes
app/models/lead.py,yes,,crm-models,python,50,50,A03-models,PENDING,,,0,0,no,no,yes,no,no,0,PENDING,
app/models/operational/__init__.py,yes,,crm-models,python,1,1,A03-models,PENDING,,,0,0,no,no,yes,no,no,0,PENDING,
app/models/operational/board.py,yes,,crm-models,python,85,85,A03-models,PENDING,,,0,0,no,no,yes,no,no,0,PENDING,
app/models/operational/card.py,yes,,crm-models,python,121,121,A03-models,PENDING,,,0,0,no,no,yes,no,no,0,PENDING,
app/models/operational/checklist.py,yes,,crm-models,python,66,66,A03-models,PENDING,,,0,0,no,no,yes,no,no,0,PENDING,
app/models/operational/notification.py,yes,,crm-models,python,107,107,A03-models,PENDING,,,0,0,no,no,yes,no,no,0,PENDING,
app/models/pipeline.py,yes,,crm-models,python,76,76,A03-models,PENDING,,,0,0,no,no,yes,no,no,0,PENDING,
app/models/segment.py,yes,,crm-models,python,41,41,A03-models,PENDING,,,0,0,no,no,yes,no,no,0,PENDING,
app/models/tag.py,yes,,crm-models,python,29,29,A03-models,PENDING,,,0,0,no,no,yes,no,no,0,PENDING,
app/models/task.py,yes,,crm-models,python,46,46,A03-models,PENDING,,,0,0,no,no,yes,no,no,0,PENDING,
app/models/team.py,yes,,crm-models,python,29,29,A03-models,PENDING,,,0,0,no,no,yes,no,no,0,PENDING,
app/models/user.py,yes,,crm-models,python,32,32,A03-models,PENDING,,,0,0,no,no,yes,no,no,0,PENDING,
app/query_filters.py,yes,,crm-core,python,64,64,A01-core,PENDING,,,0,0,no,no,yes,no,no,0,PENDING,
app/repositories/operational_board_repo.py,yes,,crm-operational,python,62,62,A06-operational,PENDING,,,0,0,no,no,yes,no,no,0,PENDING,
app/repositories/operational_card_repo.py,yes,,crm-operational,python,98,98,A06-operational,PENDING,,,0,0,no,no,yes,no,no,0,PENDING,
app/repositories/operational_checklist_repo.py,yes,,crm-operational,python,36,36,A06-operational,PENDING,,,0,0,no,no,yes,no,no,0,PENDING,
app/repositories/operational_comment_repo.py,yes,,crm-operational,python,27,27,A06-operational,PENDING,,,0,0,no,no,yes,no,no,0,PENDING,
app/repositories/operational_flow_repo.py,yes,,crm-operational,python,28,28,A06-operational,PENDING,,,0,0,no,no,yes,no,no,0,PENDING,
app/repositories/operational_notification_repo.py,yes,,crm-operational,python,33,33,A06-operational,PENDING,,,0,0,no,no,yes,no,no,0,PENDING,
app/routers/__init__.py,yes,,crm-routers,python,0,0,A04-routers,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
app/routers/ai.py,yes,,crm-ai,python,548,548,A07-ai,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
app/routers/analytics.py,yes,,crm-routers,python,213,213,A04-routers,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
app/routers/auth.py,yes,,crm-auth,python,106,106,A02-auth,PENDING,,,0,0,yes,no,no,no,no,0,PENDING,
app/routers/internal_tasks.py,yes,,crm-ai,python,88,88,A07-ai,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
app/routers/leads.py,yes,,crm-routers,python,878,878,A04-routers,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
app/routers/operational_boards.py,yes,,crm-operational,python,238,238,A06-operational,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
app/routers/operational_cards.py,yes,,crm-operational,python,366,366,A06-operational,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
app/routers/operational_checklists.py,yes,,crm-operational,python,164,164,A06-operational,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
app/routers/operational_comments.py,yes,,crm-operational,python,87,87,A06-operational,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
app/routers/operational_flow.py,yes,,crm-operational,python,120,120,A06-operational,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
app/routers/operational_notifications.py,yes,,crm-operational,python,73,73,A06-operational,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
app/routers/operational_pages.py,yes,,crm-operational,python,34,34,A06-operational,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
app/routers/operational_pending.py,yes,,crm-operational,python,29,29,A06-operational,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
app/routers/pages.py,yes,,crm-routers,python,106,106,A04-routers,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
app/routers/pipeline.py,yes,,crm-routers,python,788,788,A04-routers,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
app/routers/segments.py,yes,,crm-routers,python,392,392,A04-routers,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
app/routers/tags.py,yes,,crm-routers,python,182,182,A04-routers,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
app/routers/tasks.py,yes,,crm-routers,python,116,116,A04-routers,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
app/routers/teams.py,yes,,crm-routers,python,99,99,A04-routers,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
app/routers/users.py,yes,,crm-routers,python,239,239,A04-routers,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
app/schemas/__init__.py,yes,,crm-models,python,0,0,A03-models,PENDING,,,0,0,no,no,yes,no,no,0,PENDING,
app/schemas/internal_task.py,yes,,crm-models,python,84,84,A03-models,PENDING,,,0,0,no,no,yes,no,no,0,PENDING,
app/schemas/lead.py,yes,,crm-models,python,204,204,A03-models,PENDING,,,0,0,no,no,yes,no,no,0,PENDING,
app/schemas/operational.py,yes,,crm-models,python,284,284,A03-models,PENDING,,,0,0,no,no,yes,no,no,0,PENDING,
app/schemas/pipeline.py,yes,,crm-models,python,178,178,A03-models,PENDING,,,0,0,no,no,yes,no,no,0,PENDING,
app/schemas/segment.py,yes,,crm-models,python,64,64,A03-models,PENDING,,,0,0,no,no,yes,no,no,0,PENDING,
app/schemas/tag.py,yes,,crm-models,python,36,36,A03-models,PENDING,,,0,0,no,no,yes,no,no,0,PENDING,
app/schemas/task.py,yes,,crm-models,python,39,39,A03-models,PENDING,,,0,0,no,no,yes,no,no,0,PENDING,
app/schemas/team.py,yes,,crm-models,python,31,31,A03-models,PENDING,,,0,0,no,no,yes,no,no,0,PENDING,
app/schemas/user.py,yes,,crm-models,python,68,68,A03-models,PENDING,,,0,0,no,no,yes,no,no,0,PENDING,
app/seed.py,yes,,crm-core,python,45,45,A01-core,PENDING,,,0,0,yes,no,no,no,no,0,PENDING,
app/services/ai_tools.py,yes,,crm-ai,python,629,629,A07-ai,PENDING,,,0,0,no,no,no,yes,no,0,PENDING,
app/services/internal_ai_auth.py,yes,,crm-auth,python,88,88,A02-auth,PENDING,,,0,0,yes,no,no,no,no,0,PENDING,
app/services/internal_task_service.py,yes,,crm-ai,python,122,122,A07-ai,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
app/services/mail_service.py,yes,,crm-ai,python,72,72,A07-ai,PENDING,,,0,0,no,no,no,yes,no,0,PENDING,
app/services/operational_board_service.py,yes,,crm-operational,python,71,71,A06-operational,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
app/services/operational_card_service.py,yes,,crm-operational,python,241,241,A06-operational,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
app/services/operational_checklist_service.py,yes,,crm-operational,python,144,144,A06-operational,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
app/services/operational_comment_service.py,yes,,crm-operational,python,104,104,A06-operational,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
app/services/operational_flow_service.py,yes,,crm-operational,python,99,99,A06-operational,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
app/services/operational_notification_service.py,yes,,crm-operational,python,43,43,A06-operational,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
app/services/operational_pending_service.py,yes,,crm-operational,python,30,30,A06-operational,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/00_README.md,yes,,content-kb,markdown,88,88,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/00_persona/README.md,yes,,content-kb,markdown,14,14,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/00_persona/exemplos_dialogo.md,yes,,content-kb,markdown,73,73,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/00_persona/persona_bia.md,yes,,content-kb,markdown,49,49,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/00_persona/proibicoes_de_linguagem.md,yes,,content-kb,markdown,31,31,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/00_persona/tom_de_voz.md,yes,,content-kb,markdown,54,54,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/01_empresa/README.md,yes,,content-kb,markdown,12,12,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/01_empresa/canais_atendimento.md,yes,,content-kb,markdown,31,31,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/01_empresa/empresa.md,yes,,content-kb,markdown,34,34,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/01_empresa/proposta_de_valor.md,yes,,content-kb,markdown,30,30,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/02_destinos/README.md,yes,,content-kb,markdown,15,15,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/02_destinos/atacama.md,yes,,content-kb,markdown,66,66,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/02_destinos/logistica_geral.md,yes,,content-kb,markdown,42,42,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/02_destinos/melhor_epoca.md,yes,,content-kb,markdown,43,43,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/02_destinos/santiago.md,yes,,content-kb,markdown,64,64,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/02_destinos/uyuni.md,yes,,content-kb,markdown,69,69,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/03_tours/README.md,yes,,content-kb,markdown,34,34,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/03_tours/atacama_arcoiris.md,yes,,content-kb,markdown,30,30,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/03_tours/atacama_astronomico.md,yes,,content-kb,markdown,33,33,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/03_tours/atacama_especiais_vulcao_lascar_toco_trekking_bike_cascatas_cavalgadas.md,yes,,content-kb,markdown,78,78,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/03_tours/atacama_geisers_del_tatio.md,yes,,content-kb,markdown,39,39,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/03_tours/atacama_laguna_baltinache.md,yes,,content-kb,markdown,29,29,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/03_tours/atacama_laguna_cejar.md,yes,,content-kb,markdown,30,30,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/03_tours/atacama_lagunas_altiplanicas_piedras_rojas.md,yes,,content-kb,markdown,36,36,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/03_tours/atacama_puritama.md,yes,,content-kb,markdown,30,30,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/03_tours/atacama_rota_dos_salares.md,yes,,content-kb,markdown,36,36,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/03_tours/atacama_valle_de_la_luna.md,yes,,content-kb,markdown,30,30,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/03_tours/atacama_vallecito.md,yes,,content-kb,markdown,30,30,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/03_tours/santiago_neve.md,yes,,content-kb,markdown,80,80,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/03_tours/santiago_vinicolas.md,yes,,content-kb,markdown,52,52,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/03_tours/uyuni_expedicoes.md,yes,,content-kb,markdown,40,40,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/04_precos/README.md,yes,,content-kb,markdown,23,23,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/04_precos/pendencias_precos.md,yes,,content-kb,markdown,30,30,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/04_precos/precos_2026_atacama.md,yes,,content-kb,markdown,47,47,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/04_precos/precos_2026_santiago.md,yes,,content-kb,markdown,40,40,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/04_precos/precos_2026_uyuni.md,yes,,content-kb,markdown,41,41,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/04_precos/regras_de_preco.md,yes,,content-kb,markdown,31,31,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/05_politicas/README.md,yes,,content-kb,markdown,17,17,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/05_politicas/cancelamento.md,yes,,content-kb,markdown,61,61,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/05_politicas/desconto_pix.md,yes,,content-kb,markdown,32,32,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/05_politicas/lgpd_privacidade.md,yes,,content-kb,markdown,51,51,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/05_politicas/pagamento.md,yes,,content-kb,markdown,46,46,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/05_politicas/termos_e_condicoes.md,yes,,content-kb,markdown,55,55,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/06_saude_seguranca/README.md,yes,,content-kb,markdown,19,19,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/06_saude_seguranca/altitude.md,yes,,content-kb,markdown,50,50,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/06_saude_seguranca/criancas.md,yes,,content-kb,markdown,43,43,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/06_saude_seguranca/emergencias.md,yes,,content-kb,markdown,41,41,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/06_saude_seguranca/idosos.md,yes,,content-kb,markdown,34,34,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/06_saude_seguranca/restricoes_e_cuidados.md,yes,,content-kb,markdown,33,33,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/07_faq_objecoes/README.md,yes,,content-kb,markdown,16,16,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/07_faq_objecoes/faq_clientes.md,yes,,content-kb,markdown,71,71,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/07_faq_objecoes/objecoes_concorrencia.md,yes,,content-kb,markdown,38,38,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/07_faq_objecoes/objecoes_preco.md,yes,,content-kb,markdown,42,42,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/07_faq_objecoes/objecoes_seguranca.md,yes,,content-kb,markdown,43,43,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/07_faq_objecoes/quando_escalar.md,yes,,content-kb,markdown,42,42,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/08_operacao_agente/README.md,yes,,content-kb,markdown,15,15,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/08_operacao_agente/campos_obrigatorios_crm.md,yes,,content-kb,markdown,46,46,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/08_operacao_agente/fluxo_atendimento_bia.md,yes,,content-kb,markdown,48,48,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/08_operacao_agente/formato_resposta_whatsapp.md,yes,,content-kb,markdown,37,37,A18-content,PENDING,,,0,0,no,no,no,yes,no,0,PENDING,
bna_agent_context/08_operacao_agente/handoff_humano.md,yes,,content-kb,markdown,53,53,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/08_operacao_agente/uso_de_tools.md,yes,,content-kb,markdown,45,45,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/09_guardrails/README.md,yes,,content-kb,markdown,18,18,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/09_guardrails/dados_sensiveis.md,yes,,content-kb,markdown,29,29,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/09_guardrails/nao_negociar.md,yes,,content-kb,markdown,26,26,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/09_guardrails/nao_prometer_disponibilidade.md,yes,,content-kb,markdown,28,28,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/09_guardrails/nunca_inventar.md,yes,,content-kb,markdown,32,32,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/09_guardrails/politicas_criticas.md,yes,,content-kb,markdown,34,34,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/_meta/checklist_atualizacao.md,yes,,content-kb,markdown,45,45,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/_meta/mapa_de_arquivos.md,yes,,content-kb,markdown,66,66,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/_meta/pendencias_index.md,yes,,content-kb,markdown,111,111,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/_meta/pendencias_validacao.md,yes,,content-kb,markdown,90,90,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/_meta/schema_frontmatter.md,yes,,content-kb,markdown,44,44,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
bna_agent_context/_meta/system_prompt_futuro_curto.md,yes,,content-kb,markdown,95,95,A18-content,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
conversas/.dockerignore,yes,,conv-runtime,,13,13,A14-devops,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
conversas/Dockerfile,yes,,conv-runtime,docker,22,22,A14-devops,PENDING,,,0,0,no,yes,no,no,no,0,PENDING,
conversas/app/__init__.py,yes,,conv-core,python,1,1,A11-conv-core,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
conversas/app/auth.py,yes,,conv-core,python,161,161,A11-conv-core,PENDING,,,0,0,yes,no,no,no,no,0,PENDING,
conversas/app/config.py,yes,,conv-core,python,44,44,A11-conv-core,PENDING,,,0,0,yes,yes,no,no,no,0,PENDING,
conversas/app/database.py,yes,,conv-core,python,28,28,A11-conv-core,PENDING,,,0,0,no,no,yes,no,no,0,PENDING,
conversas/app/main.py,yes,,conv-core,python,80,80,A11-conv-core,PENDING,,,0,0,no,yes,no,no,no,0,PENDING,
conversas/app/models/__init__.py,yes,,conv-models,python,1,1,A11-conv-core,PENDING,,,0,0,no,no,yes,no,no,0,PENDING,
conversas/app/models/api_config.py,yes,,conv-models,python,27,27,A11-conv-core,PENDING,,,0,0,yes,yes,yes,no,no,0,PENDING,
conversas/app/models/auto_reply.py,yes,,conv-models,python,44,44,A11-conv-core,PENDING,,,0,0,no,no,yes,no,no,0,PENDING,
conversas/app/models/conversation.py,yes,,conv-models,python,128,128,A11-conv-core,PENDING,,,0,0,no,no,yes,no,no,0,PENDING,
conversas/app/models/media_asset.py,yes,,conv-models,python,59,59,A11-conv-core,PENDING,,,0,0,no,no,yes,no,no,0,PENDING,
conversas/app/models/message_variable.py,yes,,conv-models,python,35,35,A11-conv-core,PENDING,,,0,0,no,no,yes,no,no,0,PENDING,
conversas/app/models/note.py,yes,,conv-models,python,36,36,A11-conv-core,PENDING,,,0,0,no,no,yes,no,no,0,PENDING,
conversas/app/models/quick_reply.py,yes,,conv-models,python,21,21,A11-conv-core,PENDING,,,0,0,no,no,yes,no,no,0,PENDING,
conversas/app/models/tag.py,yes,,conv-models,python,41,41,A11-conv-core,PENDING,,,0,0,no,no,yes,no,no,0,PENDING,
conversas/app/models/template.py,yes,,conv-models,python,118,118,A11-conv-core,PENDING,,,0,0,no,no,yes,no,no,0,PENDING,
conversas/app/routers/__init__.py,yes,,conv-routers,python,1,1,A09-conv-routers,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
conversas/app/routers/api_config.py,yes,,conv-routers,python,129,129,A09-conv-routers,PENDING,,,0,0,yes,yes,no,no,no,0,PENDING,
conversas/app/routers/auth.py,yes,,conv-routers,python,156,156,A09-conv-routers,PENDING,,,0,0,yes,no,no,no,no,0,PENDING,
conversas/app/routers/conversations.py,yes,,conv-routers,python,1218,1218,A09-conv-routers,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
conversas/app/routers/media.py,yes,,conv-routers,python,85,85,A09-conv-routers,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
conversas/app/routers/notes.py,yes,,conv-routers,python,86,86,A09-conv-routers,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
conversas/app/routers/pages.py,yes,,conv-routers,python,43,43,A09-conv-routers,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
conversas/app/routers/quick_replies.py,yes,,conv-routers,python,173,173,A09-conv-routers,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
conversas/app/routers/settings.py,yes,,conv-routers,python,105,105,A09-conv-routers,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
conversas/app/routers/tags.py,yes,,conv-routers,python,142,142,A09-conv-routers,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
conversas/app/routers/templates.py,yes,,conv-routers,python,534,534,A09-conv-routers,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
conversas/app/routers/variables.py,yes,,conv-routers,python,307,307,A09-conv-routers,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
conversas/app/routers/webhook.py,yes,,conv-integration,python,700,700,A10-conv-integr,PENDING,,,0,0,yes,no,no,yes,no,0,PENDING,
conversas/app/schemas/__init__.py,yes,,conv-models,python,1,1,A11-conv-core,PENDING,,,0,0,no,no,yes,no,no,0,PENDING,
conversas/app/schemas/api_config.py,yes,,conv-models,python,57,57,A11-conv-core,PENDING,,,0,0,yes,yes,yes,no,no,0,PENDING,
conversas/app/schemas/conversation.py,yes,,conv-models,python,158,158,A11-conv-core,PENDING,,,0,0,no,no,yes,no,no,0,PENDING,
conversas/app/schemas/message_variable.py,yes,,conv-models,python,169,169,A11-conv-core,PENDING,,,0,0,no,no,yes,no,no,0,PENDING,
conversas/app/schemas/quick_reply.py,yes,,conv-models,python,37,37,A11-conv-core,PENDING,,,0,0,no,no,yes,no,no,0,PENDING,
conversas/app/schemas/settings.py,yes,,conv-models,python,54,54,A11-conv-core,PENDING,,,0,0,no,no,yes,no,no,0,PENDING,
conversas/app/schemas/template.py,yes,,conv-models,python,128,128,A11-conv-core,PENDING,,,0,0,no,no,yes,no,no,0,PENDING,
conversas/app/seed.py,yes,,conv-core,python,255,255,A11-conv-core,PENDING,,,0,0,yes,no,no,no,no,0,PENDING,
conversas/app/services/__init__.py,yes,,conv-services,python,1,1,A10-conv-integr,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
conversas/app/services/crm.py,yes,,conv-integration,python,509,509,A10-conv-integr,PENDING,,,0,0,no,no,no,yes,no,0,PENDING,
conversas/app/services/media_policy.py,yes,,conv-services,python,96,96,A10-conv-integr,PENDING,,,0,0,yes,no,no,no,no,0,PENDING,
conversas/app/services/media_storage.py,yes,,conv-services,python,171,171,A10-conv-integr,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
conversas/app/services/meta_templates.py,yes,,conv-integration,python,720,720,A10-conv-integr,PENDING,,,0,0,no,no,no,yes,no,0,PENDING,
conversas/app/services/outbound.py,yes,,conv-integration,python,210,210,A10-conv-integr,PENDING,,,0,0,no,no,no,yes,no,0,PENDING,
conversas/app/services/variables.py,yes,,conv-services,python,631,631,A10-conv-integr,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
conversas/app/services/whatsapp.py,yes,,conv-integration,python,406,406,A10-conv-integr,PENDING,,,0,0,no,no,no,yes,no,0,PENDING,
conversas/requirements.txt,yes,,conv-runtime,text,9,9,A14-devops,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
conversas/static/css/conversas.css,yes,,conv-frontend,css,2013,2013,A12-conv-frontend,PENDING,,,0,0,no,no,no,no,no,0,PENDING,
conversas/static/img/logo.png,no,"binary static asset, no logic",asset,,2739,0,,N/A,,,0,0,no,no,no,no,no,0,EXCLUDED,
conversas/static/js/auth.js,yes,,conv-frontend,javascript,74,74,A12-conv-frontend,PENDING,,,0,0,yes,no,no,no,no,0,PENDING,
