file,linhas_adicionadas,linhas_removidas,diff_lido_pelo_orquestrador,teste_de_regressao,origem
app/routers/users.py,91,36,nao,test_auth_hardening.py;test_conversas_auth_hardening.py;test_crm_authz_hardening.py,"fix(ia,authz): SSRF na ferramenta do LLM, /api/auth/token alcancavel p"
app/schemas/lead.py,68,3,sim,test_filter_normalization_and_backup.py;test_pipeline_inline_lead_edit.py,"fix(n8n,dialeto): update do Gerenciador apagava dado do lead, e a suit"
app/schemas/pipeline.py,34,1,sim,test_frontend_injection_contract.py,"fix(n8n,dialeto): update do Gerenciador apagava dado do lead, e a suit"
app/schemas/task.py,23,9,sim,,"fix(ia,authz): SSRF na ferramenta do LLM, /api/auth/token alcancavel p"
app/schemas/user.py,22,4,sim,,"fix(ia,authz): SSRF na ferramenta do LLM, /api/auth/token alcancavel p"
app/services/ai_tools.py,235,19,sim,test_postgres_dialect_divergence.py,"fix(n8n,dialeto): update do Gerenciador apagava dado do lead, e a suit"
conversas/.dockerignore,21,3,sim,,"fix(sec,ops): remove chave commitada do doc, fecha SECRET_KEY do Conve"
conversas/Dockerfile,13,1,sim,,"fix(sec,ops): remove chave commitada do doc, fecha SECRET_KEY do Conve"
conversas/app/auth.py,91,6,sim,test_conversas_auth_hardening.py;test_conversas_media_storage.py;test_conversas_mobile_pwa.py;test_conversas_mobile_responsive_refinement.py;test_conversas_notifications.py;test_conversas_outbound_integrity.py;test_conversas_service_window.py;test_postgres_dialect_divergence.py,fix(auth): o link de verificacao de e-mail do CRM era uma sessao valid
conversas/app/config.py,21,1,sim,test_conversas_auth_hardening.py,"fix(auth): sessao forjavel no Conversas, Bearer invalido derrubando co"
conversas/app/main.py,95,3,sim,test_conversas_agent_silence.py;test_conversas_auth_hardening.py;test_conversas_media_storage.py;test_conversas_mobile_pwa.py;test_conversas_mobile_responsive_refinement.py;test_conversas_notifications.py;test_conversas_outbound_integrity.py;test_conversas_service_window.py;test_conversas_webhook_hardening.py;test_conversas_webhook_signature.py;test_migration_m011.py;test_postgres_dialect_divergence.py,"fix(users,webhook,midia): linha que envenena a ORM do CRM, flag de dad"
conversas/app/models/conversation.py,29,3,sim,test_conversas_agent_silence.py;test_conversas_media_storage.py;test_conversas_notifications.py;test_conversas_outbound_integrity.py;test_conversas_service_window.py;test_conversas_webhook_hardening.py,fix(dados): quatro pares que o codigo trata como chave nao eram UNIQUE
conversas/app/routers/api_config.py,10,3,sim,,"fix(auth): sessao forjavel no Conversas, Bearer invalido derrubando co"
conversas/app/routers/auth.py,103,25,sim,test_conversas_auth_hardening.py,fix(auth): o link de verificacao de e-mail do CRM era uma sessao valid
conversas/app/routers/conversations.py,170,25,sim,test_conversas_service_window.py;test_postgres_dialect_divergence.py,"fix(conversas): lookup de lead casando cliente errado, espelho de tags"
conversas/app/routers/media.py,19,2,sim,,"fix(conversas): lookup de lead casando cliente errado, espelho de tags"
conversas/app/routers/pages.py,21,16,sim,,"fix(auth): sessao forjavel no Conversas, Bearer invalido derrubando co"
conversas/app/routers/webhook.py,374,63,sim,test_conversas_agent_silence.py;test_conversas_media_storage.py;test_conversas_outbound_integrity.py;test_conversas_service_window.py;test_conversas_webhook_hardening.py;test_conversas_webhook_signature.py;test_postgres_dialect_divergence.py,"docs(audit): reconciliacao n8n, instrucoes manuais para o operador e n"
conversas/app/schemas/api_config.py,10,4,sim,,"fix(auth): sessao forjavel no Conversas, Bearer invalido derrubando co"
conversas/app/seed.py,10,1,sim,test_data_integrity_constraints.py,"fix(users,webhook,midia): linha que envenena a ORM do CRM, flag de dad"
conversas/app/services/crm.py,96,14,sim,test_postgres_dialect_divergence.py,"fix(conversas): lookup de lead casando cliente errado, espelho de tags"
conversas/app/services/outbound.py,16,6,sim,test_conversas_webhook_hardening.py,fix(webhook): lote de mensagens do cliente descartado com 200 na cara 
conversas/app/services/whatsapp.py,42,9,sim,test_conversas_service_window.py,fix(webhook): lote de mensagens do cliente descartado com 200 na cara 
conversas/static/js/auth.js,23,0,sim,,"fix(auth): sessao forjavel no Conversas, Bearer invalido derrubando co"
conversas/static/js/conversas.js,44,18,sim,test_conversas_service_window.py,"fix(conversas): lookup de lead casando cliente errado, espelho de tags"
conversas/static/js/settings.js,31,9,sim,test_frontend_injection_contract.py,"fix(front,testes): fecha o restante do inbox, escreve a REGRA de escap"
conversas/static/js/templates.js,22,8,sim,test_frontend_injection_contract.py,"fix(front,testes): fecha o restante do inbox, escreve a REGRA de escap"
conversas/templates/login.html,19,15,sim,,"fix(auth): sessao forjavel no Conversas, Bearer invalido derrubando co"
docker-compose.yml,42,5,sim,test_secret_hygiene.py,"fix(sec,ops): remove chave commitada do doc, fecha SECRET_KEY do Conve"
docs/audit/AUDIT_COVERAGE.csv,348,0,nao,,"docs(audit): consolidacao read-only — 588 findings, 14 causas raiz, co"
docs/audit/BACKUP_RESTORE_VALIDATION.md,168,0,sim,,"docs(audit): reconciliacao n8n, instrucoes manuais para o operador e n"
docs/audit/BASELINE.md,103,0,nao,,"docs(audit): inventario, baseline e findings brutos da auditoria read-"
docs/audit/FINDINGS.csv,607,0,nao,,"docs(audit): reconciliacao n8n, instrucoes manuais para o operador e n"
docs/audit/FULL_SYSTEM_AUDIT.md,251,0,nao,,"docs(audit): reauditoria com estado por finding, RELEASE_READINESS e o"
docs/audit/FULL_SYSTEM_STABILIZATION_PLAN.md,102,0,nao,,docs(audit): relatorio da auditoria e plano de estabilizacao
docs/audit/N8N_CURRENT_STATE_RECONCILIATION.md,407,0,sim,,"fix(n8n,dialeto): update do Gerenciador apagava dado do lead, e a suit"
docs/audit/N8N_MANUAL_CHANGES.md,413,0,sim,,"docs(audit): reconciliacao n8n, instrucoes manuais para o operador e n"
docs/audit/POSTGRES_VALIDATION.md,200,0,sim,,"docs(audit): reconciliacao n8n, instrucoes manuais para o operador e n"
docs/audit/REAUDIT_COVERAGE.csv,125,0,nao,,"docs(audit): cobertura da reauditoria — 91 arquivos de codigo, 100% co"
docs/audit/RELEASE_READINESS.md,815,0,nao,,"docs(audit): reconciliacao n8n, instrucoes manuais para o operador e n"
docs/audit/ROOT_CAUSES.md,323,0,nao,,"docs(audit): consolidacao read-only — 588 findings, 14 causas raiz, co"
docs/audit/evidencia_fase2/atualiza_findings_f2.py,325,0,nao,,"docs(audit): reconciliacao n8n, instrucoes manuais para o operador e n"
docs/audit/evidencia_fase2/contratos_n8n.py,191,0,nao,,"fix(n8n,dialeto): update do Gerenciador apagava dado do lead, e a suit"
docs/audit/evidencia_fase2/contratos_n8n.txt,44,0,nao,,"fix(n8n,dialeto): update do Gerenciador apagava dado do lead, e a suit"
docs/audit/evidencia_fase2/delta_workflows.py,113,0,nao,,"fix(n8n,dialeto): update do Gerenciador apagava dado do lead, e a suit"
docs/audit/evidencia_fase2/delta_workflows.txt,59,0,nao,,"fix(n8n,dialeto): update do Gerenciador apagava dado do lead, e a suit"
docs/audit/evidencia_fase2/payloads_reais.py,128,0,nao,,"fix(n8n,dialeto): update do Gerenciador apagava dado do lead, e a suit"
docs/audit/evidencia_fase2/payloads_reais.txt,48,0,nao,,"fix(n8n,dialeto): update do Gerenciador apagava dado do lead, e a suit"
docs/audit/graphify_baseline.txt,72,0,nao,,"docs(audit): inventario, baseline e findings brutos da auditoria read-"
docs/audit/impacto_estrutural.txt,31,0,nao,,fix(auth): o link de verificacao de e-mail do CRM era uma sessao valid
docs/audit/proposed_n8n/gerenciador_leads.PROPOSTO.json,808,0,sim,,"fix(n8n,dialeto): update do Gerenciador apagava dado do lead, e a suit"
docs/audit/proposed_n8n/wf01_agente_bia.PROPOSTO.json,582,0,sim,test_conversas_agent_silence.py,"fix(n8n,dialeto): update do Gerenciador apagava dado do lead, e a suit"
docs/audit/raw/A01-core.txt,29,0,nao,,"fix(xss,ci): nome de lead vindo do WhatsApp executando script, e id de"
docs/audit/raw/A02-auth.txt,22,0,nao,,"docs(audit): inventario, baseline e findings brutos da auditoria read-"
docs/audit/raw/A03-models.txt,39,0,nao,,"docs(audit): consolidacao read-only — 588 findings, 14 causas raiz, co"
docs/audit/raw/A04-routers.txt,55,0,nao,,"docs(audit): inventario, baseline e findings brutos da auditoria read-"
docs/audit/raw/A06-operational.txt,33,0,nao,,"docs(audit): inventario, baseline e findings brutos da auditoria read-"
docs/audit/raw/A07-ai.txt,29,0,nao,,"docs(audit): inventario, baseline e findings brutos da auditoria read-"
docs/audit/raw/A08a-frontend.txt,47,0,nao,,"docs(audit): consolidacao read-only — 588 findings, 14 causas raiz, co"
docs/audit/raw/A08b-frontend.txt,57,0,nao,,"docs(audit): consolidacao read-only — 588 findings, 14 causas raiz, co"
docs/audit/raw/A09-conv-routers.txt,41,0,nao,,"docs(audit): inventario, baseline e findings brutos da auditoria read-"
docs/audit/raw/A10-conv-integr.txt,34,0,nao,,"docs(audit): inventario, baseline e findings brutos da auditoria read-"
docs/audit/raw/A11-conv-core.txt,35,0,nao,,"docs(audit): consolidacao read-only — 588 findings, 14 causas raiz, co"
docs/audit/raw/A12-conv-frontend.txt,40,0,nao,,"docs(audit): consolidacao read-only — 588 findings, 14 causas raiz, co"
docs/audit/raw/A13-db.txt,46,0,nao,,"docs(audit): consolidacao read-only — 588 findings, 14 causas raiz, co"
docs/audit/raw/A14-devops.txt,59,0,nao,,"docs(audit): inventario, baseline e findings brutos da auditoria read-"
docs/audit/raw/A15a-tests.txt,49,0,nao,,"docs(audit): consolidacao read-only — 588 findings, 14 causas raiz, co"
docs/audit/raw/A15b-tests.txt,38,0,nao,,"docs(audit): consolidacao read-only — 588 findings, 14 causas raiz, co"
docs/audit/raw/A17-n8n.txt,45,0,nao,,"docs(audit): consolidacao read-only — 588 findings, 14 causas raiz, co"
docs/audit/raw/A18-content.txt,41,0,nao,,"docs(audit): consolidacao read-only — 588 findings, 14 causas raiz, co"
docs/audit/raw/ARCH-crossfile.txt,33,0,nao,,"docs(audit): consolidacao read-only — 588 findings, 14 causas raiz, co"
docs/audit/raw/PASS2-highrisk.txt,38,0,nao,,"docs(audit): consolidacao read-only — 588 findings, 14 causas raiz, co"
docs/audit/raw/SEC-threat.txt,35,0,nao,,"docs(audit): consolidacao read-only — 588 findings, 14 causas raiz, co"
docs/audit/raw/w1a_crm_auth.txt,69,0,nao,,fix(ci): teste do Conversas rodava no job do CRM e o guard de selecao 
docs/audit/raw/w1c_ai_tools.txt,75,0,nao,,fix(ci): teste do Conversas rodava no job do CRM e o guard de selecao 
docs/audit/raw/w2c_operational_kanban.txt,62,0,nao,,fix(ci): teste do Conversas rodava no job do CRM e o guard de selecao 
docs/n8n-toolHttpRequest-guia.md,7,1,sim,,"fix(sec,ops): remove chave commitada do doc, fecha SECRET_KEY do Conve"
docs/superpowers/plans/2026-08-25-fase2-reconciliacao-n8n.md,383,0,nao,,"fix(n8n,dialeto): update do Gerenciador apagava dado do lead, e a suit"
migrations/README.md,1,0,sim,,fix(dados): quatro pares que o codigo trata como chave nao eram UNIQUE
migrations/m011_audit_unique_constraints.py,313,0,sim,test_data_integrity_constraints.py;test_migration_m011.py;test_postgres_dialect_divergence.py,fix(dados): quatro pares que o codigo trata como chave nao eram UNIQUE
n8n/workflows/live_exports/20260825_fase2/formulario_site.json,605,0,sim,,"fix(n8n,dialeto): update do Gerenciador apagava dado do lead, e a suit"
n8n/workflows/live_exports/20260825_fase2/gerenciador_leads.json,860,0,sim,test_n8n_contract_lead_update.py,"fix(n8n,dialeto): update do Gerenciador apagava dado do lead, e a suit"
n8n/workflows/live_exports/20260825_fase2/wf01_agente_bia.json,582,0,sim,test_conversas_agent_silence.py,"fix(n8n,dialeto): update do Gerenciador apagava dado do lead, e a suit"
requirements.txt,8,3,sim,,"fix(sec,ops): remove chave commitada do doc, fecha SECRET_KEY do Conve"
scripts/backup_postgres.sh,116,8,sim,test_backup_restore_e2e.py;test_filter_normalization_and_backup.py,"fix(n8n,dialeto): update do Gerenciador apagava dado do lead, e a suit"
static/js/auth.js,18,2,nao,test_auth_hardening.py;test_auth_session_consistency.py;test_conversas_auth_hardening.py,"fix(auth): sessao forjavel no Conversas, Bearer invalido derrubando co"
static/js/login.js,22,1,sim,test_auth_hardening.py;test_auth_session_consistency.py,"fix(auth): sessao forjavel no Conversas, Bearer invalido derrubando co"
templates/equipes.html,120,46,sim,,fix(ci): teste do Conversas rodava no job do CRM e o guard de selecao 
templates/leads.html,19,31,sim,test_frontend_injection_contract.py;test_leads_deeplink_pinned.py;test_leads_keyset_pagination.py;test_pipeline_inline_lead_edit.py;test_security_greps.py,"fix(xss,ci): nome de lead vindo do WhatsApp executando script, e id de"
templates/login.html,10,2,sim,test_auth_hardening.py,"fix(auth): sessao forjavel no Conversas, Bearer invalido derrubando co"
templates/operational/boards.html,48,24,nao,test_operational_ui_hardening.py,"fix(xss,ci): nome de lead vindo do WhatsApp executando script, e id de"
templates/operational/kanban.html,422,209,nao,test_operational_ui_hardening.py,"fix(xss,ci): nome de lead vindo do WhatsApp executando script, e id de"
templates/operational/pending.html,25,2,nao,test_operational_ui_hardening.py,"fix(xss,ci): nome de lead vindo do WhatsApp executando script, e id de"
templates/partials/_lead_edit_modal.html,61,7,sim,test_leads_deeplink_pinned.py;test_pipeline_inline_lead_edit.py,"fix(xss,ci): nome de lead vindo do WhatsApp executando script, e id de"
templates/pipeline.html,24,10,sim,test_frontend_injection_contract.py;test_leads_keyset_pagination.py;test_pipeline_inline_lead_edit.py;test_pipeline_target_clear.py,"fix(xss,ci): nome de lead vindo do WhatsApp executando script, e id de"
templates/relatorios.html,18,3,sim,,fix(ci): teste do Conversas rodava no job do CRM e o guard de selecao 
templates/segmentacao.html,12,3,sim,test_frontend_injection_contract.py;test_security_greps.py,"fix(xss,ci): nome de lead vindo do WhatsApp executando script, e id de"
templates/tags.html,32,11,nao,test_security_greps.py,fix(ci): teste do Conversas rodava no job do CRM e o guard de selecao 
templates/tarefas.html,64,14,sim,,"docs(audit): reauditoria com estado por finding, RELEASE_READINESS e o"
tests/test_ai_tool_hardening.py,305,0,nao,test_ai_tool_hardening.py,"fix(ia,authz): SSRF na ferramenta do LLM, /api/auth/token alcancavel p"
tests/test_auth_hardening.py,455,0,nao,test_auth_hardening.py,"fix(front,testes): fecha o restante do inbox, escreve a REGRA de escap"
tests/test_auth_session_consistency.py,1,1,nao,test_auth_session_consistency.py,"fix(front,testes): fecha o restante do inbox, escreve a REGRA de escap"
tests/test_backup_restore_e2e.py,516,0,nao,test_backup_restore_e2e.py,"fix(n8n,dialeto): update do Gerenciador apagava dado do lead, e a suit"
tests/test_conversas_agent_silence.py,268,0,sim,test_conversas_agent_silence.py,"fix(n8n,dialeto): update do Gerenciador apagava dado do lead, e a suit"
tests/test_conversas_auth_hardening.py,409,0,sim,test_conversas_auth_hardening.py,fix(auth): o link de verificacao de e-mail do CRM era uma sessao valid
tests/test_conversas_media_storage.py,83,4,sim,test_conversas_media_storage.py,"fix(users,webhook,midia): linha que envenena a ORM do CRM, flag de dad"
tests/test_conversas_mobile_pwa.py,24,1,sim,test_conversas_mobile_pwa.py,"fix(front,testes): fecha o restante do inbox, escreve a REGRA de escap"
tests/test_conversas_mobile_responsive_refinement.py,1,1,nao,test_conversas_mobile_responsive_refinement.py,"fix(front,testes): fecha o restante do inbox, escreve a REGRA de escap"
tests/test_conversas_notifications.py,25,1,sim,test_conversas_notifications.py,"fix(front,testes): fecha o restante do inbox, escreve a REGRA de escap"
tests/test_conversas_outbound_integrity.py,11,2,sim,test_conversas_outbound_integrity.py,fix(webhook): lote de mensagens do cliente descartado com 200 na cara 
tests/test_conversas_security.py,11,1,sim,test_conversas_security.py,"fix(xss,ci): nome de lead vindo do WhatsApp executando script, e id de"
tests/test_conversas_service_window.py,34,2,sim,test_conversas_outbound_integrity.py;test_conversas_service_window.py,fix(webhook): lote de mensagens do cliente descartado com 200 na cara 
tests/test_conversas_webhook_hardening.py,468,0,nao,test_conversas_webhook_hardening.py,"fix(n8n,dialeto): update do Gerenciador apagava dado do lead, e a suit"
tests/test_conversas_webhook_signature.py,177,0,sim,test_conversas_webhook_signature.py,"fix(users,webhook,midia): linha que envenena a ORM do CRM, flag de dad"
tests/test_crm_authz_hardening.py,262,0,nao,test_crm_authz_hardening.py,"fix(ia,authz): SSRF na ferramenta do LLM, /api/auth/token alcancavel p"
tests/test_data_integrity_constraints.py,422,0,nao,test_data_integrity_constraints.py,"fix(front,testes): fecha o restante do inbox, escreve a REGRA de escap"
tests/test_filter_normalization_and_backup.py,203,0,sim,test_filter_normalization_and_backup.py,"fix(front,testes): fecha o restante do inbox, escreve a REGRA de escap"
tests/test_frontend_injection_contract.py,292,0,sim,test_frontend_injection_contract.py,"fix(n8n,dialeto): update do Gerenciador apagava dado do lead, e a suit"
tests/test_leads_deeplink_pinned.py,1,1,nao,test_leads_deeplink_pinned.py,"fix(front,testes): fecha o restante do inbox, escreve a REGRA de escap"
tests/test_leads_keyset_pagination.py,1,1,nao,test_leads_keyset_pagination.py,"fix(front,testes): fecha o restante do inbox, escreve a REGRA de escap"
tests/test_migration_m011.py,155,0,nao,test_migration_m011.py,docs(test): registra por que a prova da m011 roda no job crm do CI
tests/test_n8n_contract_lead_update.py,245,0,sim,test_n8n_contract_lead_update.py,"fix(n8n,dialeto): update do Gerenciador apagava dado do lead, e a suit"
tests/test_operational_ui_hardening.py,515,0,nao,test_operational_ui_hardening.py,"fix(front,testes): fecha o restante do inbox, escreve a REGRA de escap"
tests/test_pipeline_inline_lead_edit.py,76,17,sim,test_pipeline_inline_lead_edit.py,"fix(front,testes): fecha o restante do inbox, escreve a REGRA de escap"
tests/test_pipeline_target_clear.py,1,1,nao,test_pipeline_target_clear.py;test_xss_crud_templates.py,"fix(front,testes): fecha o restante do inbox, escreve a REGRA de escap"
tests/test_postgres_dialect_divergence.py,620,0,sim,test_postgres_dialect_divergence.py,"fix(n8n,dialeto): update do Gerenciador apagava dado do lead, e a suit"
tests/test_secret_hygiene.py,150,0,nao,test_filter_normalization_and_backup.py;test_secret_hygiene.py,"fix(front,testes): fecha o restante do inbox, escreve a REGRA de escap"
tests/test_xss_crud_templates.py,425,0,nao,test_xss_crud_templates.py,"fix(front,testes): fecha o restante do inbox, escreve a REGRA de escap"
